country,region,subregion,appellation_or_village,vineyard,classification,notes
France,Burgundy,Chablis,Chablis Premier Cru,Troësmes,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Troësmes,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Adroit de Vau Renard,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Savant,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Le Cotat-Château,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Frouquelin,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Le Verger,Premier Cru,Associated with umbrella climat: Beauroy
France,Burgundy,Chablis,Chablis Premier Cru,Vauligneau,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Vau de Longue,Premier Cru,Associated with umbrella climat: Vauligneau
France,Burgundy,Chablis,Chablis Premier Cru,Vau Girault,Premier Cru,Associated with umbrella climat: Vauligneau
France,Burgundy,Chablis,Chablis Premier Cru,La Forêt,Premier Cru,Associated with umbrella climat: Vauligneau
France,Burgundy,Chablis,Chablis Premier Cru,Sur la Forêt,Premier Cru,Associated with umbrella climat: Vauligneau
France,Burgundy,Chablis,Chablis Premier Cru,Vaudevey,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,La Grande Chaume,Premier Cru,Associated with umbrella climat: Vaudevey
France,Burgundy,Chablis,Chablis Premier Cru,Vaux Ragons,Premier Cru,Associated with umbrella climat: Vaudevey
France,Burgundy,Chablis,Chablis Premier Cru,Vignes des Vaux Ragons,Premier Cru,Associated with umbrella climat: Vaudevey
France,Burgundy,Chablis,Chablis Premier Cru,Vaucoupin,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Adroit de Vaucopins,Premier Cru,Associated with umbrella climat: Vaucoupin
France,Burgundy,Chablis,Chablis Premier Cru,Vosgros,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Adroit de Vosgros,Premier Cru,Associated with umbrella climat: Vosgros
France,Burgundy,Chablis,Chablis Premier Cru,Vaugiraut,Premier Cru,Associated with umbrella climat: Vosgros
France,Burgundy,Chablis,Chablis Premier Cru,Les Fourneaux,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Morein,Premier Cru,Associated with umbrella climat: Les Fourneaux
France,Burgundy,Chablis,Chablis Premier Cru,Côte des Près Girots,Premier Cru,Associated with umbrella climat: Les Fourneaux
France,Burgundy,Chablis,Chablis Premier Cru,La Côte,Premier Cru,Associated with umbrella climat: Les Fourneaux
France,Burgundy,Chablis,Chablis Premier Cru,Sur la Côte,Premier Cru,Associated with umbrella climat: Les Fourneaux
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Vaubarousse,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Berdiot,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Chaume de Talvat,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Jouan,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Les Beauregards,Premier Cru,Umbrella climat (flag-bearing)
France,Burgundy,Chablis,Chablis Premier Cru,Hauts des Chambres du Roi,Premier Cru,Associated with umbrella climat: Les Beauregards
France,Burgundy,Chablis,Chablis Premier Cru,Côte de Cuissy,Premier Cru,Associated with umbrella climat: Les Beauregards
France,Burgundy,Chablis,Chablis Premier Cru,Les Corvées,Premier Cru,Associated with umbrella climat: Les Beauregards
France,Burgundy,Chablis,Chablis Premier Cru,Bec d'Oiseau,Premier Cru,Associated with umbrella climat: Les Beauregards
France,Burgundy,Chablis,Chablis Premier Cru,Vallée de Cuissy,Premier Cru,Associated with umbrella climat: Les Beauregards
